         Basket	              -
              2	              -	      I-A1
          barig	              -	      I-A1
              2	              -	      I-A1
           ban2	              -	      I-A1
              1	              -	      I-A1
          sila3	              -	      I-A1
             ka	              -	      I-A1
              k	              -	      I-A1
              -	              -	      I-A1
         cheese	              -	      E-A1
              ,	              -	         O

              n	              -	      S-A0
          hides	          hides	       S-V
             of	              -	      B-A1
           oxen	              -	      I-A1
              ,	              -	      I-A1
             26	              -	      I-A1
      carcasses	              -	      I-A1
             of	              -	      I-A1
           oxen	              -	      E-A1
              ,	              -	         O

            7th	              -
         tablet	              -
              ;	              -

             10	              -
          sheep	              -
              ,	              -
            8th	              -
         tablet	              -
              ;	              -

             80	              -
          sheep	              -
              ,	              -
            9th	              -
         tablet	              -
              ;	              -

              1	              -
         donkey	              -
              ,	              -
            old	              -
              ,	              -
              ,	              -

           10th	              -
         tablet	              -
              ;	              -

           from	              -
            the	              -
         basket	              -
             of	              -
              u	              -
              -	              -
           Erra	              -

          Iddin	              -	         O
              -	              -	         O
           Erra	              -	      S-A1
       received	       received	       S-V
              ;	              -	         O

              8	              -
            gur	              -
         barley	              -
              ,	              -
           11th	              -
         tablet	              -
              .	              -

              5	              -
           sila	              -
             of	              -
   high-quality	              -
           beer	              -
              ,	              -
              3	              -
           sila	              -
             of	              -
          bread	              -
              ,	              -

              2	              -
        shekels	              -
             of	              -
            oil	              -
              ,	              -
              2	              -
        shekels	              -
             of	              -
           naga	              -
              ,	              -

              1	              -
           fish	              -
              ,	              -
              1	              -
         bundle	              -
             of	              -
         onions	              -

           Inim	              -
              -	              -
         Inanna	              -
              ;	              -

              4	              -
            ban	              -
             of	              -
          bread	              -
             as	              -
     provisions	              -
            for	              -
         smiths	              -
              ,	              -

            via	              -
           Inim	              -
              -	              -
         Inanna	              -
              ;	              -

              5	              -
           sila	              -
             of	              -
           beer	              -
              ,	              -
              5	              -
           sila	              -
             of	              -
          bread	              -
              ,	              -

              2	              -
        shekels	              -
             of	              -
            oil	              -
              ,	              -
              2	              -
        shekels	              -
             of	              -
           naga	              -
              ,	              -

              1	              -
           fish	              -
              ,	              -
              1	              -
         bundle	              -
             of	              -
         onions	              -

            via	              -
           Dada	              -
              ;	              -

             it	              -
             is	              -
             on	              -
            the	              -
           19th	              -
            day	              -
              ,	              -

          Month	              -
              :	              -
       Festival	              -
             of	              -
           ulgi	              -
              .	              -

              1	              -	      B-A0
         barley	              -	      E-A0
              -	              -	         O
            fed	            fed	       S-V
            ima	              -	      B-A1
           kian	              -	      I-A1
          billy	              -	      I-A1
           goat	              -	      E-A1
              ,	              -	         O

              1	              -
         barley	              -
              -	              -
            fed	              -
         female	              -
            kid	              -
          Enlil	              -
              ,	              -

              1	              -	      B-A0
         barley	              -	      E-A0
              -	              -	         O
            fed	            fed	       S-V
            ima	              -	      B-A1
           kian	              -	      E-A1
          billy	              -	      B-A2
           goat	              -	      E-A2

         Ninlil	              -
              ,	              -

            the	              -
       zabardab	              -
            was	              -
            the	              -
  requisitioner	              -
              ;	              -

              1	              -
         barley	              -
              -	              -
            fed	              -
           male	              -
            kid	              -
              ,	              -
       delivery	              -
             of	              -
           ellu	              -
              -	              -
          Dagan	              -
              ,	              -

              1	              -	         O
         barley	              -	         O
              -	              -	         O
            fed	            fed	       S-V
          long-	              -	      B-A1
        fleeced	              -	      I-A1
            ram	              -	      I-A1
              ,	              -	      I-A1
              1	              -	      I-A1
          nanny	              -	      I-A1
           goat	              -	      E-A1
              ,	              -	         O

       delivery	              -
             of	              -
             Ur	              -
              -	              -
           Suen	              -
              ,	              -
            son	              -
             of	              -
            the	              -
           king	              -
              ;	              -

              1	              -
         barley	              -
              -	              -
            fed	              -
         female	              -
            kid	              -
              ,	              -
       delivery	              -
             of	              -
            Utu	              -
              -	              -
         GIRgal	              -
              ,	              -

            for	              -
            the	              -
              E	              -
           uzga	              -
              ,	              -

         Dayani	              -
            was	              -
            the	              -
  requisitioner	              -
              ;	              -

              1	              -
           lamb	              -
          Enlil	              -
              ,	              -

              1	              -
           lamb	              -
         Ninlil	              -
              ,	              -

       delivery	              -
             of	              -
              e	              -
           dada	              -
              ,	              -
            the	              -
         temple	              -
  administrator	              -
              ;	              -

              1	              -
           lamb	              -
            Utu	              -
              ,	              -

       delivery	              -
             of	              -
            the	              -
       governor	              -
             of	              -
      Shuruppak	              -
              ,	              -

            Nan	              -
              e	              -
              -	              -
         GIRgal	              -
            was	              -
            the	              -
  requisitioner	              -
              ;	              -

              1	              -
             ox	              -
              ,	              -
              1	              -
            cow	              -
              ,	              -
              3	              -
          sheep	              -
              ,	              -

              2	              -
          goats	              -
     provisions	              -
            for	              -
            the	              -
        kitchen	              -
              ;	              -

              1	              -	      B-A1
         female	              -	      I-A1
          equid	              -	      E-A1
              ,	              -	         O
    slaughtered	    slaughtered	       S-V
              ,	              -	         O
            for	              -	         O
            the	              -	         O
           dogs	              -	         O
              ,	              -	         O

             Il	              -	      B-A0
           bani	              -	      I-A0
              ,	              -	      I-A0
            dog	              -	      I-A0
         herder	              -	      I-A0
              ,	              -	      E-A0
       received	       received	       S-V
              ;	              -	         O

      withdrawn	      withdrawn	       S-V
              ;	              -	         O
             it	              -	         O
             is	              -	         O
             on	              -	         O
            the	              -	         O
           28th	              -	         O
            day	              -	         O
              .	              -	         O

          Month	              -
              :	              -
       Festival	              -
             of	              -
           ulgi	              -
              .	              -

           Year	              -	         O
              :	              -	         O
         Kimash	              -	      B-A1
            and	              -	      I-A1
          Hurti	              -	      E-A1
           were	              -	         O
      destroyed	      destroyed	       S-V
              .	              -	         O

              4	              -	         O
          small	              -	         O
            new	              -	         O
         combed	         combed	       S-V
       garments	              -	      S-A1
              ,	              -	         O

          their	              -
         weight	              -
             is	              -
             12	              -
            1/3	              -
           mana	              -
              ;	              -

              7	              -
           sagu	              -
            bar	              -
       garments	              -
              ,	              -

          their	              -
         weight	              -
             is	              -
             25	              -
           mana	              -
              ;	              -

              n	              -
              u	              -
            bar	              -
        garment	              -
              ,	              -

            its	              -
              /	              -
          their	              -
         weight	              -
             is	              -
              5	              -
           mana	              -
              ;	              -

              n	              -
            mug	              -
        garment	              -
              ,	              -

            its	              -
              /	              -
          their	              -
         weight	              -
             is	              -
              4	              -
           mana	              -
              ;	              -

           from	              -
          Anana	              -
              ,	              -

       delivery	              -
              ,	              -

          Iddin	              -
              -	              -
           Erra	              -
              ,	              -
            the	              -
         fuller	              -
              ,	              -

       received	       received	       S-V
           them	              -	      S-A1
              .	              -	         O

          Month	              -
              :	              -
              u	              -
              e	              -
              a	              -
              ,	              -

           year	              -	  S-AM-TMP
              :	              -	         O
            Har	              -	      B-A1
              i	              -	      I-A1
            and	              -	      I-A1
           Kima	              -	      E-A1
           were	              -	         O
      destroyed	      destroyed	       S-V
              .	              -	         O

              1	              -	         O
         barley	              -	         O
              -	              -	         O
            fed	              -	      B-A1
          full-	              -	      E-A1
          grown	          grown	       S-V
          billy	              -	      B-A1
           goat	              -	      E-A1
             of	              -	         O
            the	              -	         O
         second	              -	         O
          grade	              -	         O
              ,	              -	         O

              1	              -
          sheep	              -
              ,	              -

              3	              -
           ewes	              -
              ,	              -

              7	              -
          nanny	              -
          goats	              -
              ,	              -

              2	              -
          billy	              -
          goats	              -
              ,	              -

              5	              -
       suckling	              -
          lambs	              -
              ,	              -

              3	              -
       suckling	              -
          goats	              -
              ,	              -

           were	              -	         O
    slaughtered	    slaughtered	       S-V
              ,	              -	         O

             it	              -
             is	              -
             on	              -
            the	              -
           14th	              -
            day	              -
              ,	              -

           from	              -
         Ahuwer	              -
              ,	              -

           ulgi	              -
              -	              -
          irimu	              -

       received	       received	       S-V
           them	              -	      S-A1
              .	              -	         O

          Month	              -
              :	              -
        Harvest	              -
              .	              -

           Year	              -	         O
              :	              -	         O
            The	              -	      B-A1
             en	              -	      I-A1
              -	              -	      I-A1
      priestess	              -	      I-A1
             of	              -	      I-A1
          Nanna	              -	      E-A1
            was	              -	         O
      installed	      installed	       S-V
              .	              -	         O

             22	              -
          sheep	              -

              1	              -
      millstone	              -
             of	              -
   high-quality	              -
          black	              -
         basalt	              -

          Lugal	              -
              -	              -
          itida	              -

              1	              -
      millstone	              -
             of	              -
          black	              -
         basalt	              -

         Akalla	              -
              ,	              -
            the	              -
  leatherworker	              -
              ;	              -

              1	              -
      millstone	              -
              U	              -
             mu	              -
              ,	              -

              1	              -
      millstone	              -
        Akadani	              -
              ,	              -

              1	              -
      millstone	              -
            ara	              -
              -	              -
           zame	              -
              ,	              -

           from	              -
            Adu	              -
              ,	              -

            the	              -	         O
         sealed	         sealed	       S-V
         tablet	              -	      S-A1
             of	              -	         O
             Ur	              -	         O
              -	              -	         O
       Numushda	              -	         O
              .	              -	         O

           Year	              -	         O
          after	              -	         O
              :	              -	         O
            The	              -	         O
           king	              -	         O
              u	              -	         O
              -	              -	         O
           Suen	              -	      S-A0
        erected	        erected	       S-V
            the	              -	      B-A1
        Amorite	              -	      I-A1
           wall	              -	      E-A1
              .	              -	         O

              1	              -
       suckling	              -
           lamb	              -
              ,	              -

              1	              -
       suckling	              -
         female	              -
           lamb	              -
              ,	              -

              1	              -
       suckling	              -
            kid	              -
              ,	              -

       new-born	              -
              s	              -
              ;	              -

             it	              -
             is	              -
             on	              -
            the	              -
           29th	              -
            day	              -
              ,	              -

           ulgi	              -	      B-A0
              -	              -	      I-A0
          ayamu	              -	      E-A0
           took	           took	       S-V
              .	              -	         O

          Month	              -
              :	              -
              u	              -
              e	              -
              a	              -
              .	              -

           Year	              -	         O
              :	              -	         O
           King	              -	         O
           Amar	              -	         O
              -	              -	         O
           Suen	              -	      S-A0
      destroyed	      destroyed	       S-V
        Urbilum	              -	      S-A1
              .	              -	         O

              3	              -
              .	              -

              2	              -
          barig	              -
              3	              -
           ban2	              -
              9	              -
            1/3	              -
          sila3	              -
           lard	              -
              ,	              -

           from	              -	         O
            the	              -	         O
       restored	       restored	       S-V
        deficit	              -	      S-A1
             of	              -	         O
              u	              -	         O
              -	              -	         O
            Utu	              -	         O
              ,	              -	         O
        foreman	              -	         O
             of	              -	         O
            the	              -	         O
         female	              -	         O
         sesame	              -	         O
            oil	              -	         O
       pressers	              -	         O
              ;	              -	         O

           Bibi	              -
              ,	              -
         scribe	              -
             of	              -
           oils	              -
              ,	              -

       received	       received	       S-V
              ;	              -	         O

           year	              -	         O
              :	              -	         O
              u	              -	      B-A0
              -	              -	      I-A0
           Suen	              -	      I-A0
              ,	              -	      I-A0
           king	              -	      I-A0
             of	              -	      I-A0
             Ur	              -	      I-A0
              ,	              -	      E-A0
      fashioned	      fashioned	       S-V
          Great	              -	      B-A1
              -	              -	      I-A1
          barge	              -	      E-A1
            for	              -	      B-A3
          Enlil	              -	      I-A3
            and	              -	      I-A3
         Ninlil	              -	      E-A3
              .	              -	         O

             23	              -
           cows	              -
              ,	              -

              4	              -
           oxen	              -
              ,	              -

           1232	              -
           ewes	              -

            105	              -
           rams	              -
              ,	              -

              4	              -
       suckling	              -
          lambs	              -

          house	              -
             of	              -
          grain	              -
              -	              -
            fed	              -
          sheep	              -
              ;	              -

        regular	              -
        rations	              -
              ;	              -

          month	              -
              :	              -
         kisiki	              -
             of	              -
         Ninazu	              -
              ,	              -

           year	              -	         O
              :	              -	         O
           Kima	              -	      B-A1
            and	              -	      I-A1
          Hurti	              -	      E-A1
           were	              -	         O
      destroyed	      destroyed	       S-V
              .	              -	         O

             27	              -
           oxen	              -
              ,	              -
           1341	              -
          sheep	              -
              .	              -

              9	              -
            gur	              -
         barley	              -

        regular	              -
       offering	              -
            for	              -
            ara	              -
              ,	              -

           from	              -
             Gu	              -
              -	              -
          edina	              -

           from	              -
        Egalesi	              -

            did	              -	         O
            ala	              -	  S-AM-TMP
        receive	        receive	       S-V
              ;	              -	         O

           from	              -
            the	              -
          month	              -
        Harvest	              -

             to	              -
            the	              -
          month	              -
         First-	              -
          fruit	              -
       offering	              -
              ,	              -

           year	              -	         O
          after	              -	         O
              :	              -	         O
              a	              -	      B-A1
             ru	              -	      E-A1
            was	              -	         O
      destroyed	      destroyed	       S-V
              .	              -	         O

            ala	              -
              ,	              -

            son	              -
             of	              -
          Lugal	              -
              -	              -
            ema	              -
              ,	              -

         brewer	              -
             of	              -
            ara	              -
              .	              -

              1	              -
          jenny	              -
              ,	              -

              1	              -
          full-	              -
          grown	              -
       mountain	              -
           goat	              -
              ,	              -

              1	              -
          young	              -
         female	              -
       mountain	              -
           goat	              -
              ,	              -

    slaughtered	    slaughtered	       S-V
              ,	              -	         O
            8th	              -	         O
            day	              -	         O
              ;	              -	         O

           from	              -
             Lu	              -
              -	              -
        dingira	              -

            did	              -
             Ur	              -
              -	              -
             ni	              -
             ar	              -

        receive	        receive	       S-V
              ;	              -	         O

          month	              -
              :	              -
       Festival	              -
             of	              -
         Ninazu	              -
              ,	              -

           year	              -	         O
          after	              -	         O
              :	              -	         O
           Kima	              -	      B-A1
           urti	              -	      E-A1
           were	              -	         O
      destroyed	      destroyed	       S-V
              .	              -	         O

              1	              -
         niglam	              -
        garment	              -
              ,	              -
           fine	              -
        quality	              -
              ,	              -

              k	              -
              -	              -
         vessel	              -

             of	              -
           ulgi	              -
              -	              -
          ayamu	              -
              ;	              -

          month	              -
              :	              -
           Lisi	              -
              ,	              -

           year	              -
          after	              -
              :	              -
              u	              -
              -	              -
           Suen	              -
             is	              -
           king	              -
              .	              -

              1	              -
            ram	              -
              ,	              -

              1	              -
            ewe	              -
              ,	              -

    slaughtered	    slaughtered	       S-V
              ,	              -	         O

            3rd	              -
            day	              -
              ;	              -

           from	              -
           Nalu	              -
              ;	              -

          month	              -
              :	              -
        Gazelle	              -
          feast	              -
              ,	              -

           year	              -	         O
          after	              -	         O
              :	              -	         O
       Simurrum	              -	      B-A1
        Lullubi	              -	      I-A1
            for	              -	      I-A1
            the	              -	      I-A1
            9th	              -	      I-A1
           time	              -	      E-A1
           were	              -	         O
      destroyed	      destroyed	       S-V
              .	              -	         O

              4	              -
          sheep	              -
              ,	              -
         barley	              -
              -	              -
            fed	              -
              ;	              -
              1	              -
         mature	              -
           goat	              -
              ,	              -

              1	              -
           lamb	              -
              ,	              -

            4th	              -
            day	              -
              ;	              -

           from	              -
           Abba	              -
              -	              -
           saga	              -

            did	              -	         O
             En	              -	         O
              -	              -	         O
       dingirmu	              -	      S-A0
         accept	         accept	       S-V
              ;	              -	         O

          month	              -
              :	              -
          Great	              -
       festival	              -
              ,	              -

           year	              -	         O
              :	              -	         O
         Throne	              -	      B-A1
              ,	              -	      I-A1
            joy	              -	      I-A1
             of	              -	      I-A1
          Enlil	              -	      I-A1
              ,	              -	      E-A1
            was	              -	         O
      fashioned	      fashioned	       S-V
              .	              -	         O

              6	              -
              .	              -

             22	              -
        talents	              -
              4	              -
            5/6	              -
           mina	              -
            tan	              -
           wool	              -
              ,	              -

              3	              -
        talents	              -
             28	              -
            1/3	              -
           mina	              -
           wool	              -
             of	              -
            fat	              -
              -	              -
         tailed	              -
          sheep	              -
              ,	              -

              3	              -	      B-A1
           mina	              -	      I-A1
           wool	              -	      E-A1
              ,	              -	         O
    slaughtered	    slaughtered	       S-V
          sheep	              -	      S-A1

       lordship	              -
              ;	              -

           from	              -
            Kas	              -

            did	              -
         Gududu	              -

        receive	        receive	       S-V
              ;	              -	         O

           year	              -	         O
              :	              -	         O
              u	              -	      B-A0
              -	              -	      I-A0
           Suen	              -	      I-A0
              ,	              -	      I-A0
           king	              -	      I-A0
             of	              -	      I-A0
             Ur	              -	      I-A0
              ,	              -	      I-A0
            the	              -	      I-A0
           land	              -	      I-A0
             of	              -	      I-A0
            Zab	              -	      I-A0
            ali	              -	      E-A0
      destroyed	      destroyed	       S-V
              .	              -	         O

              2	              -
          sheep	              -
              ,	              -

              1	              -
           lamb	              -

    slaughtered	    slaughtered	       S-V
              ,	              -	         O

           10th	              -
            day	              -
              ;	              -

           from	              -
              B	              -
              l	              -
              -	              -
             il	              -

            did	              -
           ulgi	              -
              -	              -
          irimu	              -

        receive	        receive	       S-V
              ;	              -	         O

          month	              -
              :	              -
            Ubi	              -
          feast	              -
              ,	              -

           year	              -	         O
          after	              -	         O
              :	              -	         O
        Simanum	              -	      S-A1
            was	              -	         O
      destroyed	      destroyed	       S-V
              .	              -	         O

              3	              -
              .	              -

            150	              -
           male	              -
        laborer	              -
       workdays	              -
              ,	              -

          grain	              -
           from	              -
      Irisagrig	              -

         booked	         booked	       B-V
            out	              -	       E-V
              ;	              -	         O

        foreman	              -
              :	              -
          Alaya	              -
              ,	              -

          under	              -
           seal	              -
             of	              -
             Ur	              -
              -	              -
            mes	              -
              ;	              -

          month	              -
              :	              -
              u	              -
              e	              -
              a	              -
              ,	              -

           year	              -	         O
              :	              -	         O
              u	              -	      B-A1
           nuri	              -	      E-A1
            was	              -	         O
      destroyed	      destroyed	       S-V
              .	              -	         O

             Ur	              -
              -	              -
            mes	              -
              ,	              -

         scribe	              -
              ,	              -

            son	              -
             of	              -
             Ur	              -
              -	              -
           Suen	              -
              .	              -

              4	              -
          sheep	              -
              ,	              -
         barley	              -
              -	              -
            fed	              -
              ,	              -

              1	              -
            big	              -
              -	              -
          billy	              -
              ,	              -
         barley	              -
              -	              -
            fed	              -
              ,	              -
            ima	              -
           gian	              -
              ,	              -

             to	              -
            the	              -
        kitchen	              -

        because	              -
             of	              -
            the	              -
        runners	              -
              ;	              -

           ARAD	              -
              u	              -
             is	              -
            the	              -
       enforcer	              -
              ;	              -

             of	              -	         O
            the	              -	         O
          month	              -	         O
            the	              -	      B-A1
            5th	              -	      I-A1
            day	              -	      E-A1
            has	              -	         O
         passed	         passed	       S-V
              ;	              -	         O

             in	              -
           Uruk	              -

         booked	         booked	       B-V
            out	              -	       E-V
              ;	              -	         O

           from	              -
             Lu	              -
              -	              -
        dingira	              -

          month	              -
            ubi	              -
          feast	              -
              ,	              -

           year	              -	         O
              :	              -	         O
           Kima	              -	      B-A1
            and	              -	      I-A1
           urti	              -	      E-A1
           were	              -	         O
      destroyed	      destroyed	       S-V
              ;	              -	         O

              5	              -
          sheep	              -
              .	              -

              3	              -
          sheep	              -

           25th	              -
            day	              -
              ,	              -

              3	              -
          sheep	              -
              ,	              -
      grass-fed	              -
              ,	              -

              1	              -
            ewe	              -
              ,	              -
      grass-fed	              -
              ,	              -

           27th	              -
            day	              -

    slaughtered	    slaughtered	       S-V
              ,	              -	         O
           with	              -	  B-AM-MNR
          Balli	              -	  E-AM-MNR
              ;	              -	         O

          month	              -
              :	              -
            Big	              -
              -	              -
       festival	              -
              .	              -

              2	              -
           male	              -
          sheep	              -
             of	              -
            the	              -
       mountain	              -
              ,	              -
           with	              -
         fleece	              -
              ,	              -

              1	              -
           male	              -
           lamb	              -
             of	              -
            the	              -
       mountain	              -
              ,	              -
           with	              -
         fleece	              -
              ,	              -

         fallen	         fallen	       S-V
              ;	              -	         O

           from	              -
           Urru	              -
              ,	              -

          under	              -
           seal	              -
             of	              -
        Lukalla	              -
              ;	              -

          month	              -
              :	              -
           Lisi	              -
              ,	              -

           year	              -	         O
              :	              -	         O
              u	              -	      B-A1
           nuri	              -	      E-A1
            was	              -	         O
      destroyed	      destroyed	       S-V
              .	              -	         O

        Lukalla	              -
              ,	              -

            the	              -
         scribe	              -
              ,	              -

            son	              -
             of	              -
             Ur	              -
              -	              -
              E	              -
              e	              -
              ,	              -
          chief	              -
      livestock	              -
  administrator	              -
              .	              -

              1	              -
          sheep	              -
              ,	              -

    slaughtered	    slaughtered	       S-V
              ;	              -	         O

           13th	              -
            day	              -

             in	              -
         Tummal	              -
              ,	              -

           from	              -
       Endingir	              -
              u	              -

           ulgi	              -
              -	              -
            iri	              -
              u	              -

       received	       received	       S-V
              ;	              -	         O

          month	              -
             ue	              -
              a	              -
              ,	              -

           year	              -	         O
              :	              -	         O
            The	              -	      B-A1
         throne	              -	      I-A1
             of	              -	      I-A1
          Enlil	              -	      E-A1
            was	              -	         O
        crafted	        crafted	       S-V
              .	              -	         O

              2	              -
           male	              -
       laborers	              -
            for	              -
              1	              -
            day	              -

          grass	              -	      S-A1
        carried	        carried	       S-V
              ,	              -	         O

         sadura	              -
          ditch	              -
             of	              -
           auda	              -
              ,	              -

        foreman	              -
              :	              -
           ARAD	              -
              u	              -
              ;	              -

          under	              -
           seal	              -
             of	              -
             Ur	              -
              -	              -
            mes	              -
              ,	              -
            the	              -
          canal	              -
      inspector	              -
              ;	              -

           year	              -	         O
              :	              -	         O
              a	              -	      B-A1
            rum	              -	      E-A1
            was	              -	         O
      destroyed	      destroyed	       S-V
              .	              -	         O

             Ur	              -
              -	              -
            mes	              -
              ,	              -

            son	              -
             of	              -
         Nabalu	              -
              .	              -

            The	              -
          debit	              -
              :	              -
              5	              -
          royal	              -
            gur	              -
             of	              -
         barley	              -
              ,	              -

      remaining	      remaining	       S-V
          debit	              -	      S-A1
             of	              -	         O
            the	              -	         O
        account	              -	         O
              ,	              -	         O

             by	              -
          Abani	              -
              -	              -
           sege	              -

             to	              -	         O
